Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[1.1414615384615738, 0.08647435897422899, 0.6745, 28.138756410254715, 0.0, 26.01642857143178, 0.48178571428571426, 0.6745, 1.1562857142863563, 0.0, 5.395999999998288, 0.3211904761908022, 0.25695238095229944, 2.248333333333048, 0.25695238095229944, 1.0278095238091978]",4.242339400183144,0.6745,8.731902430891573,0.0,28.138756410254715,16.0,3.0,6.0,0.6
1,"[1.159296874999899, 0.18970312500010092, 0.18970312500010092, 1.496546874999829, 0.793529411764395, 0.6745, 0.5157941176465923, 0.0, 0.03967647058795545, 1.7457647058816688, 2.3012352941172742, 1.4614166666674155, 0.6745, 3.3725, 0.0, 0.6745]",0.955541666666577,0.6745,0.9069753648532018,0.0,3.3725,16.0,3.0,4.0,0.4
2,"[0.8093999999996405, 0.8543666666665868, 0.0, 0.5845666666661075, 0.899333333333533, 0.6745, 0.5845666666661075, 1.2590666666661077, 0.17986666666658677, 0.7522217718587246, 0.6428645049218408, 0.7030110017371264, 0.6959808917197509, 0.6428645049218304, 0.654581354950776, 0.6662982049797319, 0.6827017950202681]",0.6638935703985129,0.6745,0.26195442788286694,0.0,1.2590666666661077,17.0,2.0,2.0,0.2
3,"[0.28069254658384396, 0.1591987577639554, 0.0, 7.130428571428468, 0.6242267080745404, 0.4859751552794986, 0.6745, 6.8120310559005, 7.184891304347743, 7.092723602484345, 7.075965838509191, 0.14988888888896956, 0.8175757575757026, 0.6813131313130856, 0.14988888888896956, 0.6676868686869145, 23.805080808081836, 328.3815740741099, 0.7744259259260923, 0.5745740740739077, 0.12490740740757382, 0.12490740740724099, 2.3982222222228877]",17.22481213021544,0.6745,66.54058611880474,0.0,328.3815740741099,23.0,3.0,9.0,0.9
4,"[0.29977777777777775, 1.1616388888891385, 0.29977777777777775, 1.0492222222222223, 0.6745, 0.6745, 0.6745, 0.6745, 0.6745, 0.6745]",0.6857416666666916,0.6745,0.2563768277078051,0.29977777777777775,1.1616388888891385,10.0,4.0,3.0,0.3
5,"[0.26624999999988175, 1.7927500000001182, 0.6922500000003546, 0.6567499999996453, 0.7277500000001182, 0.2662500000003547, 45.978416666672075, 0.16237962962938002, 0.16237962962971283, 1.1866203703702871]",5.189179629630193,0.6745,13.605130026776793,0.16237962962938002,45.978416666672075,10.0,2.0,7.0,0.7
6,"[0.043798701298748285, 0.043798701298514875, 0.7270584415584279, 0.7971363636363318, 0.30659090909077114, 29.52908441557996, 0.6219415584415721, 29.739318181813672, 0.8925714285713837, 17.283428571429596, 17.52685714285829, 0.22314285714284593, 0.4564285714286161, 0.30428571428569906, 17.800714285715355, 0.22314285714284593]",7.282456168830789,0.6745,10.704748107321052,0.043798701298514875,29.739318181813672,16.0,2.0,8.0,0.8
7,"[0.0, 0.6744999999998202, 0.6745000000001797]",0.44966666666666666,0.6744999999998202,0.3179623492735509,0.0,0.6745000000001797,3.0,2.0,1.0,0.1
8,"[0.4576964285712681, 0.6745000000003208, 39.988214285718776, 1.0599285714285713, 0.0, 0.6745, 0.24089285714317807, 0.19271428571434684, 0.6745, 3591.6161428586774, 1.2526428571434685, 0.0, 0.2248333333331907, 58.00700000002482]",263.93311181983967,0.6745,923.0936020633018,0.0,3591.6161428586774,14.0,2.0,10.0,1.0
9,"[0.6745, 2.127269230768486, 0.0, 0.0, 6.622255997659481, 0.6745, 0.0, 0.6744999999999999, 0.9197727272731357]",1.2991997728556783,0.6745,1.9832381223772113,0.0,6.622255997659481,9.0,3.0,5.0,0.5
