Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.6189529411764574, 9.469450980392471, 0.1639960784314654, 0.5131490196078381, 9.802733333333727, 3.211149019607838, 0.7300470588235427, 9.617576470588679, 0.41263529411754424, 0.5290196078430959, 9.368937254902319, 0.30154117647045886, 9.569964705882766, 0.04761176470591386, 9.585835294118024, 0.03174117647051527, 0.15870588235285826, 9.903247058823881, 0.9998470588234862, 9.506482352941594, 0.010580392156932395, 0.010580392156791435, 0.5395999999998872, 0.35444313725483895, 9.596415686274815, 263.980784313734, 11.775383177569239, 4.236112149532422, 0.0819485981308678, 3.523789719625972, 11.195439252335534, 11.756471962615842, 4.021785046728641, 0.35300934579432663, 0.22063084112141212, 0.25214953271023327, 0.6303738317755833, 0.0, 0.5547289719625131, 1.3679112149532253, 0.6240700934579533, 0.6240700934579533, 0.6745, 0.6114626168223577, 3.9902663551398194, 0.07564485981306998, 10.892859813083252, 11.346728971961673, 0.18280841121496114, 0.4412616822429922, 0.4286542056073966, 0.22063084112141212, 3.719205607476361, 0.7942710280373189, 11.422373831774744, 11.787990654204666, 0.3277943925233032, 11.712345794391595, 0.11977102803731882, 11.346728971961673, 0.11977102803731882, 11.447588785045767, 11.529537383176635, 11.851028037382306, 0.37192056074772006, 0.025214953271023327, 0.03151869158882115, 0.7753598130840933, 0.1702009345793655, 407.32235514015565, 420.53499065417344, 3.8704953271025007, 0.20171962616818662, 0.23323831775700776, 11.88254672897113, 0.028966257668708105, 0.07448466257667798, 0.02172469325153797, 0.6372576687116335, 1.9107384969324945, 0.009310582822091639, 1.8910828220858782, 1.845564417177881, 1.9200490797545864, 0.0, 0.025862730061353412, 0.24104064417178406, 1.849702453987696, 0.10655444785276834, 0.1034509202453861, 2.009016871165632, 1.7710797546012027, 1.724526840490772, 1.9655674846625562, 0.0341388036809843, 0.10655444785276834, 0.024828220858892663, 0.11896855828221467, 1.9407392638036636, 1.86211656441717, 1.9190145705521255, 1.9986717791410797, 0.11483052147239922, 1.894186349693233, 0.2400061349693233, 0.08482975460123038, 0.01551763803680102, 0.11069248466258379, 0.032069785276062794, 0.030000766871168857, 1.8548749999999725, 0.10241641104295289, 1.9034969325153246, 0.14069325153372508, 0.05793251533741621, 1.8155636503067396, 1.9459118098159398, 1.761769171779111, 0.0631050613496924, 1.7824593558281883, 1.8145291411042788, 0.0682776073619686, 1.8817722392637863, 0.044483895705509126, 0.007241564417170135, 1.8372883435582499, 1.7772868098159398, 1.7990115030674778, 0.12827914110427877, 1.7969424846625561, 1.8776342024539712, 1.8165981595091727, 1.8083220858895417, 1.8279777607361858, 0.11172699386501697, 1.761769171779111, 1.9562569018404645, 1.7948734662576622, 0.03310429447852355, 1.9655674846625562, 0.16138343558282986, 0.04965644171778533, 1.9210835889570472, 0.007241564417170135, 0.09310582822086125, 1.7369409509202185, 0.1293136503067395, 0.1572453987730144, 0.0682776073619686, 0.07345015337421723, 1.878668711656432, 1.8590130368097877, 1.7379754601226793, 1.8828067484662472, 0.01137960122698558, 1.7669417177913875, 2.0659148773005875, 0.13552070552147644, 0.1324171779140942, 1.8528059815950786, 0.12000306748464785, 1.8652200920245248, 0.005172546012276196, 0.14379677914110733, 0.08896779141104581, 1.8321157975460014, 1.8838412576686803, 1.7855628834355706, 0.17483205521470938, 0.03103527607362961, 0.09310582822086125, 0.06413957055215315, 0.13345168711655495, 1.7990115030674778, 0.017586656441722526, 1.8362538343558166, 1.8931518404907721, 0.12103757668710861, 0.19966027607360207, 0.036207822085878236, 0.046552914110430624, 0.07551917177913874, 0.004138036809815443, 0.02069018404907722, 1.776252300613479, 0.09310582822086125, 1.8745306748466164, 1.8662546012269856, 0.1375897239263704, 1.8238397239263704, 1.849702453987696, 1.8776342024539712, 1.7917699386502801, 1.7907354294478466, 0.08896779141104581, 1.7048711656441555, 1.9883266871165548, 0.1262101226993848, 0.10448542944784683, 1.9076349693251398, 0.12517561349692408, 1.8910828220858782, 0.23897162576686254, 0.019655674846616466, 1.7824593558281883, 1.7431480061349554, 1.8331503067484343, 0.026897239263814165, 0.19034969325153797, 1.7721142638036635, 1.783493865030649, 0.15414187116563216, 0.22035046012270681, 0.08793328220858507, 0.0062070552147093835, 1.9117730061349554, 0.009310582822091639, 0.07551917177913874, 1.8610820552147094, 1.7897009202453862, 0.0693121165644018, 0.06517407975458633, 1.8579785276073546, 0.6962246932515104, 0.056898006134955464, 1.800046012269911, 0.019655674846616466, 0.0682776073619686, 0.07448466257667798, 0.1862116564417225, 0.048621932515324574, 0.1665559815950785, 1.9397047546012027, 1.8683236196318795, 0.14896932515335595, 0.12827914110427877, 1.8145291411042788, 0.03310429447852355, 1.8372883435582499, 1.7959079754600953, 1.86211656441717, 1.8393573619631713, 0.705535276073602, 1.8631510736196033, 0.21931595092024606, 0.7510536809815719, 0.897953987730034, 1.8538404907975392, 1.792804447852741, 0.08586426380366356, 0.22448849693252226, 0.1500038343558167, 1.899358895705509, 1.8662546012269856, 0.032069785276062794, 0.14896932515335595, 1.8259087423312643, 2.0069478527607103, 1.8424608895705261, 1.7855628834355706, 0.7582952453987696, 0.03724233128833899, 0.04138036809815444, 0.1955222392637866, 1.8362538343558166, 1.7959079754600953, 1.8569440184048938, 0.15931441717790837, 0.05275996932514001, 0.002069018404921504, 1.9190145705521255, 0.12000306748464785, 0.12310659509203012, 0.7127768404907722, 1.8910828220858782, 0.048621932515324574, 1.9738435582821872, 0.048621932515324574, 0.03827684049079974, 0.0951748466257552, 1.7824593558281883, 0.028966257668708105, 1.8910828220858782, 0.6341541411042787, 1.9583259202453862, 0.131382668711661, 1.9655674846625562, 1.8331503067484343, 0.018621165644155713, 1.8569440184048938, 0.04551840490796987, 0.001034509202460752, 0.02069018404907722, 0.1893151840490772, 0.08276073619630887, 0.03724233128833899, 1.800046012269911, 1.8093565950920025, 9.150233895705398, 0.1893151840490772, 0.11689953987729317, 0.6858796012269855, 0.131382668711661, 1.8321157975460014, 1.864185582822064, 1.9159110429447708, 1.8910828220858782, 1.8652200920245248, 1.7897009202453862, 0.008276073619630887, 0.04965644171778533, 1.8362538343558166, 0.040345858895693684, 1.9128075153373885, 0.03827684049079974, 1.8652200920245248, 1.7276303680981546, 0.19862576687116884, 0.02069018404907722, 1.811425613496924, 0.0662085889570471, 0.12517561349692408, 1.7907354294478466, 0.028966257668708105, 0.7086388036809568, 0.2669033742331099, 1.8548749999999725, 1.8734961656441556, 1.7990115030674778, 1.9076349693251398, 0.6755345092024332, 1.8145291411042788, 1.8610820552147094, 1.9252216257668624, 1.8424608895705261, 1.9407392638036636, 1.9003934049079423, 1.8755651840490495, 0.06207055214723165, 1.8548749999999725, 0.14379677914110733, 1.8652200920245248, 0.10448542944784683, 1.9572914110429254, 0.04241487730061519, 0.14896932515335595, 1.9107384969324945, 1.7969424846625561, 0.001034509202460752, 1.9541878834355706, 0.04138036809815444, 1.829012269938619, 1.8610820552147094, 0.11896855828221467, 0.006207055214736948, 0.19862576687116884, 1.7876319018404645, 0.6165674846625563, 1.7824593558281883, 0.6548443251533559, 1.7452170245398493, 1.8569440184048938, 0.15931441717790837, 0.07551917177913874, 0.08172622699384811, 0.036207822085878236, 1.7948734662576622, 0.03724233128833899, 1.8879792944784959, 1.7514240797545864, 0.15310736196319896, 0.12207208588956936, 1.9262561349692957, 0.08793328220858507, 0.12724463190184557, 1.8879792944784959, 0.6879486196318796, 0.07758819018403268, 0.16241794478526306, 1.8569440184048938, 0.7603642638036636, 0.05379447852760076, 1.9966027607361858, 0.1262101226993848, 1.8310812883435406, 0.044483895705509126, 0.16241794478526306, 0.08379524539876962, 0.11896855828221467, 0.018621165644183278, 0.13448619631901568, 0.1582799079754476, 0.13034815950920026, 1.878668711656432, 0.006207055214736948, 0.1262101226993848, 2.0359141104294185, 0.12724463190184557, 0.024828220858892663, 1.8445299079754474, 1.899358895705509, 0.08689877300612431, 0.11483052147239922, 1.8083220858895417, 1.8083220858895417, 0.14483128834354053, 1.8517714723926177, 1.966601993865017, 0.001034509202460752, 0.030000766871168857, 0.028966257668708105, 1.8879792944784959, 1.7917699386502801, 0.748984662576678, 0.007241564417170135, 0.09414033742332202, 0.02275920245397116, 0.6993282208588927, 0.019655674846616466, 0.14069325153372508, 0.017586656441722526, 0.6413957055214489, 0.1241411042944633, 0.04241487730061519, 0.12000306748464785, 33.0142921779137, 35.01089493864987, 0.10138190184049216, 0.15621088957055365, 0.040345858895693684, 1.9086694785275733, 0.05793251533741621, 0.07034662576686254, 0.0693121165644018, 0.08689877300612431, 0.28862806748464787, 1.8672891104294187, 1.8155636503067396, 0.05379447852760076, 0.036207822085878236, 1.8869447852760628, 1.8279777607361858, 0.017586656441722526, 0.06207055214723165, 1.8952208588956938, 1.7772868098159398, 0.019655674846616466, 1.8238397239263704, 0.12724463190184557, 1.9324631901840328, 1.8869447852760628, 0.012414110429446332, 1.8165981595091727, 0.13448619631901568, 1.6821119631901569, 0.20690184049079974, 1.7586656441717563, 1.9086694785275733, 0.001034509202460752, 2.0028098159508954, 1.8734961656441556, 0.6755345092024332, 0.09827837423313747, 1.9200490797545864, 0.1603489263803691, 1.8238397239263704, 0.15310736196319896, 0.03724233128833899, 1.7969424846625561, 0.13034815950920026, 1.9479808282208337, 1.8072875766871088, 0.13965874233129189, 0.0062070552147093835, 0.08896779141104581, 1.8517714723926177, 1.7897009202453862, 1.9769470858895417, 0.040345858895693684, 0.6745, 0.05896702453987696, 1.9200490797545864, 0.0610360429447709, 1.9034969325153246, 1.8072875766871088, 0.1572453987730144, 0.13655521472390963, 1.7752177914110183, 1.8041840490797263, 1.8745306748466164, 0.13345168711655495, 1.7783213190183729, 0.02379371165643191, 0.13965874233129189, 0.12827914110427877, 1.9076349693251398, 0.11483052147239922, 1.8165981595091727, 0.6517407975460012, 0.733467024539877, 0.0031035276073546917, 2.0359141104294185, 0.0662085889570471, 1.7865973926380039, 1.8207361963189883, 0.008276073619630887, 1.8952208588956938, 0.19138420245397117, 1.7824593558281883, 1.8745306748466164, 0.698293711656432, 0.027931748466247356, 2.0131549079754474, 0.13552070552147644, 0.017586656441722526, 1.848667944785263, 0.705535276073602, 1.9117730061349554, 0.03724233128833899, 1.9510843558281883, 0.04551840490796987, 1.9407392638036636, 1.9003934049079423, 1.8652200920245248, 1.9034969325153246, 0.07448466257667798, 1.7876319018404645, 1.86211656441717, 1.813494631901818, 1.9221180981594803, 0.2606963190184005, 0.08069171779141493, 0.14690030674846202, 1.929359662576678, 0.010345092024524827, 0.131382668711661, 1.7710797546012027, 1.9490153374232946, 0.07551917177913874, 0.02379371165643191, 0.06207055214723165, 0.1034509202453861, 1.8465989263803417, 0.0951748466257552, 1.8321157975460014, 0.008276073619630887, 1.8124601226993573, 0.10448542944784683, 1.783493865030649, 1.8321157975460014, 0.3775958588956937, 2.0866050613496645, 1.9076349693251398, 0.14069325153372508, 0.07551917177913874, 0.17483205521470938, 0.10655444785276834, 1.835219325153356, 1.9355667177913871, 1.8745306748466164, 0.008276073619630887, 0.0062070552147093835, 0.11172699386501697, 0.03827684049079974, 0.11172699386501697, 1.9883266871165548, 0.12000306748464785, 1.848667944785263, 0.03827684049079974, 0.13552070552147644, 0.08379524539876962, 0.04551840490796987, 1.7669417177913875, 0.044483895705509126, 1.8155636503067396, 1.850736963190157, 1.8662546012269856, 1.8031495398772932, 0.7086388036809568, 1.9490153374232946, 0.6207055214723717, 0.06207055214723165, 0.683810582822064, 0.131382668711661, 0.1944877300613534, 1.8869447852760628, 0.03310429447852355, 1.7669417177913875, 1.7959079754600953, 1.797976993865017, 0.14483128834354053, 1.8052185582821871, 0.08689877300612431, 0.12207208588956936, 0.692086656441695, 0.14069325153372508, 1.8569440184048938, 0.21517791411043063, 0.1603489263803691, 1.8031495398772932, 1.8838412576686803, 1.9728090490797263, 1.7534930981594803, 1.8321157975460014, 1.8921173312883115, 0.14379677914110733, 0.03310429447852355, 0.21724693251532456, 0.02069018404907722, 0.030000766871168857, 1.7855628834355706, 1.7824593558281883, 1.936601226993848, 0.03517331288344505, 1.7959079754600953, 1.7917699386502801, 1.7917699386502801, 0.028966257668708105, 1.8910828220858782, 1.8910828220858782, 1.762803680981572, 0.11483052147239922, 1.7710797546012027, 0.05793251533741621, 1.7017676380368012, 0.06517407975458633, 0.13552070552147644, 0.006207055214736948, 0.14793481595092278, 1.9438427914110183, 0.11379601226993848, 1.8424608895705261, 0.6765690184048939, 1.9334976993864932, 1.7721142638036635, 0.07345015337421723, 0.16138343558282986, 1.8828067484662472, 0.05379447852760076, 0.14276226993864657, 0.048621932515324574, 1.8424608895705261, 0.6351886503067394, 1.8734961656441556, 0.07758819018403268, 0.1375897239263704, 0.051725460122706825, 0.030000766871168857, 1.7710797546012027, 0.6548443251533559, 1.8331503067484343, 1.7917699386502801, 1.749355061349665, 1.8310812883435406, 1.8145291411042788, 1.8279777607361858, 1.8703926380368008, 0.14069325153372508, 1.829012269938619, 0.06207055214723165, 0.04551840490796987, 0.030000766871168857, 0.13655521472390963, 0.14586579754600126, 1.86211656441717, 1.7545276073619411, 1.7959079754600953, 1.7576311349692957, 1.8579785276073546, 1.8631510736196033, 1.665559815950895, 64.41578450920166, 66.30272929447769, 1.7379754601226793, 0.1893151840490772, 1.7876319018404645, 0.2400061349693233, 0.17483205521470938, 0.019655674846616466, 1.879703220858865]",3.143960629030076,0.6745,24.86166274397473,0.0,420.53499065417344,680.0,3.0,2.0,0.5
1,"[10.712286363636332, 11.07406363636352, 0.1165045454544905, 0.6683681818181416, 0.1165045454544905, 0.6806318181818583, 0.1686250000001021, 0.6744999999999999, 0.0, 0.9964204545455566, 14.156835227274309, 0.022994318181767125, 13.129755681819663, 24.691990196071487, 0.8067549019605563, 0.6745, 0.14548039215671765, 8.993333333330867, 0.4232156862743439, 24.25554901960098, 0.22483333333333333, 24.321676470581437, 0.17193137254904034, 1.5473823529406583, 0.039676470588131646, 0.4364411764705053, 23.779431372542344, 0.0, 26.045536458335906, 0.5269531249999532, 0.30211979166661984, 0.8642031250003276, 0.4004843749998596, 0.30211979166699426, 0.8220468750000468, 1.060932291666807, 6.644140186916889, 0.23954205607469728, 0.10085981308411843, 0.6934112149532302, 23.966813084116414, 0.10085981308411843, 1.0338130841123818, 1.5885420560750332, 23.52555140187314, 7.451018691590172, 0.6555887850467698, 0.5421214953270526, 0.20171962616823685, 0.3025794392523553, 12.711195876289269, 0.013907216494937044, 0.0, 0.6745, 0.44503092783502096, 0.8413865979381329, 12.168814432990244, 0.7996649484536923, 0.06258247422684615, 13.107551546392195, 0.8831082474227587, 0.013907216494751764, 0.21556185567004196, 6.748944444443839, 7.494444444443721, 0.22877777777778577, 7.376111111110463, 0.023666666666609507, 0.23272222222225572, 0.1459444444445474, 6.851499999999323, 0.8717222222221839, 0.4772777777778162, 0.2997777777778245, 7.0408333333326185, 0.4693888888888763, 0.023666666666714607, 7.01716666666601, 6.918555555554891, 0.4181111111111874, 9.399611111110199, 0.2958333333332988, 0.0, 4.724458333333274, 5.100166666666623, 0.4585416666666722, 5.16820833333334, 6.765708333333311, 0.49404166666666804, 5.384166666666668, 5.230333333333274, 0.20412499999999587, 5.174124999999967, 4.919708333333291, 0.4733333333333568, 0.6745, 0.43783333333336094, 5.36641666666663, 0.4822083333333361, 5.165249999999988, 0.24849999999997094, 0.23370833333336513, 0.1722127659575336, 0.0861063829787668, 18.311957446806097, 16.88641843971417, 0.707985815602797, 0.6410141843972029, 1.9804468085103617, 0.27745390070921805, 18.072773049643224, 17.460460992905524, 0.3635602836879848, 0.0861063829787668, 17.34149275362347, 0.0, 0.0977536231885266, 0.6745, 0.8406811594200785, 1.2610217391303782, 0.4594420289856583, 0.011241666666439516, 1.1354083333331562, 0.5508416666666193, 0.5058749999999625, 0.2135916666668439, 0.4271833333333882, 1.1578916666663348, 20.2912083333313, 7.003558333332302, 0.011241666666739054, 6.643824999999049, 0.7981583333333807, 16.26707931034572, 0.7303206896551698, 17.83936206896665, 0.2651482758622117, 18.025431034483884, 0.6186793103448301, 0.27445172413788743, 0.09768620689657823, 0.10698965517250184, 0.1349000000000248, 0.33957586206910484, 17.09508620689772, 16.62991379310451, 1.3722586206896852, 0.0883827586206546, 0.0883827586206546, 17.66259655172534, 0.23723793103444085, 16.155437931035383, 1.2606172413793455]",4.4518836166700035,0.6745,6.8921006605288255,0.0,26.045536458335906,153.0,12.0,3.0,0.75
2,"[28.145045454548313, 0.0, 0.6744999999999999, 26.0142386363666, 0.5365340909089887, 0.6745, 0.0, 40.7746129032395, 16.424745033112107, 1.1122549668874187, 0.2367450331125812, 0.2367450331125812, 0.6745, 10.223413223141048, 0.0, 0.04459504132231159, 10.713958677686623, 12.379459595958414, 0.0, 0.6745]",7.477017384469825,0.6745,11.530669315729975,0.0,40.7746129032395,20.0,5.0,4.0,1.0
3,"[0.0, 1.7007035714285634, 0.6745, 0.0, 0.0]",0.4750407142857127,0.0,0.6661868336622196,0.0,1.7007035714285634,5.0,3.0,1.0,0.25
