Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[1583.2730510949877, 5.080905109489328, 1.1422189781023966, 19.260175182483177, 19.24048175182611, 19.142014598541575, 19.260175182483177, 0.19693430656933347, 0.0886204379560033, 0.06892700729920112, 0.07877372262773338, 0.019693430657064533, 19.201094890512245, 19.22078832116931, 19.25032846715464, 19.082934306570642, 19.555576642337044, 18.561058394161847, 18.81707299270211, 19.28971532846851, 18.53151824817651, 19.57527007299411, 19.52603649635171, 19.447262773723978, 18.81707299270211, 19.98883211678958, 0.059080291970668865, 0.059080291970668865, 0.03938686131386669, 18.964773722629047, 0.16739416058399906, 19.132167883213047, 0.029540145985334432, 0.019693430656802163, 0.019693430657064533, 0.05908029197093123, 0.12800729926986998, 0.019693430656802163, 19.535883211680243, 19.535883211680243, 19.535883211680243, 19.476802919709314, 18.82691970803038, 20.00852554744664, 20.038065693431978, 0.12800729926986998, 0.0886204379560033, 0.0886204379560033, 0.0886204379560033, 0.03938686131386669, 0.10831386861306784, 0.07877372262773338, 0.07877372262773338, 0.049233576642136595, 0.029540145985334432, 18.895846715329842, 0.13785401459840224, 19.46695620438078, 0.06892700729920112, 0.2067810218976034, 0.15754744525546677, 0.17724087591226895, 0.12800729926986998, 0.13785401459840224, 0.1181605839416001, 0.10831386861306784, 65.7169781021938, 66.05176642336154, 0.6744999999964055, 0.5395999999992811, 1.0791999999985622, 0.9442999999978433, 1.0791999999985622, 0.4046999999985622, 0.6744999999964055, 0.13489999999712443, 0.4046999999985622, 0.9443000000014378, 1.2140999999956867, 1.2140999999956867, 0.13489999999712443, 0.13489999999712443, 0.0, 0.9442999999978433, 268.72079999967434, 268.85569999967146, 263.45969999967866, 262.7851999996823, 264.2690999996794, 257.793899999688, 273.57719999966787, 0.6745, 0.0, 0.6745, 0.40470000000215667, 0.5396000000028756, 1.888599999999281, 0.2697999999978433, 0.5396000000028756, 0.13489999999712443, 1.2140999999992812, 0.40470000000215667, 0.7869166666676651, 1.4614166666706605, 0.33725, 221.6856666671829, 2.1359166666736558, 0.8993333333353302, 1.3490000000029954, 1.2365833333383256, 0.11241666666766512, 0.3372500000029954, 0.7869166666706605, 0.0, 0.11241666666466973, 0.11241666666466973, 0.3372500000029954, 0.6745, 0.0, 0.6745, 0.11241666666766512, 1.5176250000011233, 0.6745, 0.33725000000224653, 2.1921250000011234, 0.33725000000224653, 0.8431250000011232, 1.0117499999977535, 0.33724999999775346, 0.6745, 0.16862500000112327, 0.16862500000112327, 0.33725000000224653, 0.0, 0.5058749999988768, 0.33725000000224653, 332.52850000003593, 342.98325000003814, 0.33724999999775346, 0.8431250000011232, 2.1921250000011234, 1.349, 0.0, 0.6745, 1.0117499999977535, 0.16862500000112327, 0.33725000000224653, 334.2147500000382, 0.16862500000112327, 0.8431250000011232, 0.11902941176439495, 0.2777352941178025, 0.4166029411764395, 38.36714705881299, 0.4364411764706815, 0.5951470588235606, 0.4166029411764395, 0.45627941176439496, 0.6943382352937134, 0.5753088235293186, 38.06957352940094, 38.3274705882245, 37.732323529400944, 37.851352941165864, 37.414911764695184, 37.19669117646011, 37.47442647057791, 38.486176470577384, 38.585367647048066, 38.82342647057738, 37.49426470587162, 38.30763235293026, 38.36714705881299, 37.75216176469519, 0.3769264705879555, 0.47611764705863696, 0.3769264705879555, 38.12908823528314, 38.44649999998943, 0.31741176470575794, 0.33725, 0.33725, 37.47442647057791, 37.47442647057791, 38.68455882351875, 37.71248529410723, 37.732323529400944, 38.88294117645958, 39.0019705882245, 38.98213235293026, 37.63313235293079, 38.62504411763602, 38.486176470577384, 40.29145588234178, 37.910867647048065, 0.2777352941178025, 0.23805882352931848, 0.23805882352931848, 0.29757352941151594, 0.29757352941151594, 0.19838235294083442, 0.35708823529424205, 38.36714705881299, 37.57361764704807, 39.33922058822398, 37.63313235293079, 0.19838235294083442, 38.76391176469518, 38.922617647048064, 39.04164705881246, 37.553779411754356, 38.585367647048066, 38.44649999998943, 40.25177941175329, 37.77199999998943, 38.36714705881299, 0.29757352941151594, 0.3967647058821975, 37.43474999998943, 39.16067647057738, 0.35708823529424205, 0.3769264705879555, 0.4166029411764395, 0.2578970588235605, 0.35708823529424205, 0.2777352941178025, 0.3967647058821975, 0.29757352941151594, 0.2777352941178025, 0.17854411764712103, 39.3987352941067, 0.0, 0.515794117647121, 38.466338235283146, 37.49426470587162, 38.82342647057738, 38.44649999998943, 38.347308823518745, 38.98213235293026, 38.44649999998943, 37.414911764695184, 38.74407352940094, 39.57727941175382, 38.922617647048064, 38.605205882342304, 40.25177941175329, 0.6149852941172739, 0.47611764705863696, 0.3769264705879555, 0.4364411764706815, 37.95054411763655, 38.06957352940094, 0.3967647058821975, 0.4364411764706815, 37.57361764704807, 38.98213235293026, 40.78741176469466, 0.47611764705863696, 0.3967647058821975, 0.19838235294083442, 0.15870588235287897, 0.2578970588235605, 0.09919117647068151, 0.2578970588235605, 0.11902941176439495, 0.29757352941151594, 0.11902941176439495, 0.15870588235287897, 0.11902941176439495, 3.3328235294109874, 0.35708823529424205, 0.21822058823507648, 0.19838235294136303, 0.4166029411764395, 0.515794117647121, 0.47611764705863696, 0.21822058823507648, 0.33725, 0.495955882352879, 0.6745, 0.6745, 0.47611764705863696, 0.29757352941151594, 39.14083823528314, 38.486176470577384, 39.7954999999889, 0.17854411764712103, 0.2578970588235605, 0.19838235294083442, 0.11902941176439495, 0.21822058823507648, 0.0, 0.46371875000007023, 0.16862500000084243, 0.6745, 0.6323437499997894, 0.9274374999990171, 0.758812499999298, 0.9695937499992276, 0.6745, 0.3372500000005616, 0.42156249999985956, 0.6745, 0.6745, 82.24684374987173, 0.2529375000001404, 0.3372500000005616, 0.21078124999992978, 0.04215624999908734, 0.37940624999852574, 0.5901874999995788, 81.10862499987279, 85.61934374986612, 82.45762499987167, 82.58409374987117, 81.74096874987258, 80.77137499987336, 82.24684374987173, 85.23993749986647, 81.44587499987223, 85.95659374986555, 82.54193749987097, 82.7527187498709, 81.57234374987286, 82.8791874998704, 82.12037499987224, 0.3372500000005616, 0.379406249999649, 84.31249999986858, 80.39196874987482, 80.85568749987377, 82.07821874987202, 0.5480312499993681, 0.3372500000005616, 0.7166562499990874, 0.3372500000005616, 0.5058750000002809, 0.46371875000007023, 0.5058750000002809, 0.04215625000021061, 0.5480312499993681, 0.46371875000007023, 82.41546874987145, 0.0, 0.04215625000021061, 0.2107812499988065, 0.2107812499988065, 0.21078124999992978, 0.08431249999929795, 0.16862499999971917, 84.4811249998683, 82.96349999987082, 79.80178124987525, 82.24684374987173, 83.80662499986941, 82.41546874987145, 79.2115937498768, 84.64974999986802, 0.6323437499997894, 0.08431250000042122, 0.7166562499990874, 81.74096874987258, 83.59584374986949, 80.05471874987538, 80.2654999998742, 80.64490624987384, 79.59099999987532, 82.66840624987047, 83.42721874986977, 79.04296874987708, 84.27034374986837, 0.2529375000001404, 0.42156249999985956, 0.5058750000002809, 0.46371875000007023, 0.5480312499993681, 0.21078124999992978, 0.2529375000001404, 0.04215625000021061, 0.16862500000084243, 0.0, 0.16862499999971917, 0.7166562499990874, 0.5058750000002809, 81.19293749987321, 0.42156249999985956, 81.74096874987258, 0.12646875000063185, 0.12646875000063185, 0.2529375000001404, 0.3372500000005616, 8.616340067341644, 8.629966329968, 0.4314983164983152, 8.580003367004943, 8.593629629631296, 8.575461279462946, 8.584545454547062, 0.34065656565655833, 0.5677609427610112, 8.598171717173294, 8.561835016836591, 8.466451178452717, 0.1635151515150415, 8.616340067341644, 8.616340067341644, 8.58908754208918, 8.561835016836591, 0.508713804713839, 8.616340067341644, 8.598171717173294, 8.584545454547062, 8.634508417509997, 8.602713804715412, 8.611797979799649, 8.598171717173294, 8.534582491584125, 8.557292929294473, 8.584545454547062, 8.593629629631296, 8.616340067341644, 8.616340067341644, 0.6858552188552347, 0.013626262626233288, 0.3497407407406735, 0.6631447811447653, 0.06358922558916935, 0.39970370370373054, 0.1725993265992777, 0.22710437710433187, 0.42695622895619717, 8.648134680136351, 8.625424242425883, 8.652676767678347, 0.5995555555555959, 0.009084175084115182, 0.33611447811444023, 0.42695622895619717, 0.15897306397304442, 0.1953097643097472, 0.41332996632996394, 0.5495925925926599, 0.6631447811447653, 0.022710437710348468, 0.3633670033670278, 0.44966666666666666, 0.42695622895619717, 0.22710437710433187, 0.2498148148148014, 0.4860033670033694, 0.5041717171717208, 0.6268080808080624, 0.009084175084236208, 0.34065656565655833, 0.4042457912457277, 0.4042457912457277, 0.20893602693598048, 0.22710437710433187, 0.508713804713839, 8.60725589225753, 8.575461279462946, 8.598171717173294, 8.616340067341644, 0.43604040404043337, 8.634508417509997, 8.584545454547062, 8.58908754208918, 8.643592592594233, 8.598171717173294, 0.0, 0.40470000000215667, 0.6745, 0.9443000000014378, 0.5395999999992811, 261.16639999968083, 259.6824999996801, 266.15769999967506, 264.94359999967577, 260.7616999996787, 273.037599999665, 0.6745, 1.0791999999985622, 1.0791999999985622, 0.5395999999992811, 0.1349000000007189, 0.40470000000215667, 0.13489999999712443, 0.6745, 0.0, 0.1349000000007189, 0.0, 0.13489999999712443, 0.2594230769232896, 0.051884615383551935, 0.051884615383551935, 0.7782692307698688, 1.0895769230767103, 0.36319230769039346, 0.1556538461534208, 0.6745, 1.0895769230767103, 0.8820384615369727, 201.88303846145678, 200.84534615376361, 209.45819230760742, 203.6471153845335, 210.28834615376084, 212.88257692299098, 0.6745, 0.9858076923068415, 0.6745, 0.46696153846026234, 0.4669615384630273, 0.5707307692301312, 0.36319230769039346, 0.2594230769232896, 1.4008846153835521, 1.4008846153835521, 0.1556538461534208, 0.6745, 0.7782692307698688, 1.297115384616448, 0.4669615384630273, 1.193346153846579, 0.2594230769232896, 0.2594230769232896, 1.4008846153835521, 0.6745, 0.051884615386316904, 0.6745, 0.7782692307698688, 1.0895769230767103, 0.5707307692301312, 0.8820384615397378, 2.0235, 0.3631923076931584, 0.1556538461534208, 15.4097307692246, 0.7782692307698688, 0.1556538461534208, 0.3631923076931584, 0.5707307692301312, 1.214099999998083, 1.3040333333294993, 0.4046999999985622, 0.22483333333333333, 0.044966666665708144, 179.3720333331162, 177.843166666451, 189.804299999769, 177.75323333311718, 0.22483333333093702, 0.22483333333093702, 0.49463333333237486, 0.3147666666671459, 0.22483333333333333, 0.6745, 0.3147666666647496, 0.044966666665708144, 0.49463333333237486, 0.5845666666685837, 0.5845666666685837, 0.22483333333333333, 2.11343333332902, 0.49463333333237486, 0.7644333333314163, 0.9442999999966452, 2.0234999999952072, 0.7644333333314163, 1.393966666663312, 174.33576666645388, 0.5845666666637911, 0.6744999999976037, 0.49463333333477116, 0.22483333333093702, 181.08076666644666, 177.48343333311814, 177.57336666645196, 176.4941666664534, 0.9443000000014378, 0.6745, 0.04496666666810445, 0.9442999999966452, 180.54116666644862, 177.66329999978336, 180.72103333311384, 177.843166666451, 176.85389999978625, 175.68476666645387, 0.13490000000191704, 0.49463333333237486, 0.044966666665708144, 0.8543666666652289, 0.5845666666637911, 0.8543666666652289, 1.0342333333304576, 0.22483333333093702, 0.13490000000191704, 0.22483333333093702, 0.49463333333237486, 0.04496666666810445, 0.7644333333338126, 0.11241666666450334, 0.03747222222150111, 146.4789166667933, 152.9241388890213, 141.3077500001223, 0.11241666666849717, 0.11241666666849717, 0.6370277777794974, 2.3607500000004995, 0.11241666666849717, 149.1769166667953, 0.18736111111349632, 0.8618611111105009, 1.6113055555545017, 0.7119722222205026, 0.4871388888875021, 0.9368055555555, 1.0866944444435014, 0.4871388888875021, 0.03747222222349803, 0.3372499999995008, 2.5855833333374934, 0.45965925925923956, 0.2098444444442965, 0.3097703703706465, 0.0799407407404942, 0.5695777777777186, 0.14988888888912555, 0.5396000000000001, 0.3997037037038023, 0.7094740740741825, 0.22982962962961978, 0.789414814814943, 0.34974074074076045, 0.009992592592395365, 0.15988148148125467, 0.4396740740741825, 0.19985185185190116, 0.6994814814815209, 0.5595851851853233, 0.32975555555543723, 1.289044444444829, 0.44966666666657795, 0.09992592592581745, 0.3997037037038023, 0.22982962962961978, 0.17986666666684417, 0.10991851851847909, 0.629533333333422, 0.039970370370646484, 0.35973333333368834, 0.6395259259260837, 0.519614814814943, 0.8893407407410268, 19.325674074081107, 19.255725925933003, 0.4396740740741825, 0.02997777777771861, 0.1498888888888593, 0.44966666666657795, 0.519614814814943, 0.19985185185190116, 0.7594370370372244, 19.315681481488443, 19.30568888889605, 19.275711111118063, 19.335666666673767, 19.215755555562627, 19.275711111118063, 19.215755555562627, 19.1957703703773, 19.1957703703773, 19.185777777784907, 0.6495185185184791, 0.009992592592661621, 19.185777777784907, 19.185777777784907, 19.155800000006924, 19.165792592599587, 19.1957703703773, 0.48963703703695816, 0.0799407407404942, 19.22574814815529, 19.185777777784907, 0.5595851851853233, 19.165792592599587, 19.10583703704388, 19.185777777784907, 19.205762962969963, 19.125822222229203, 19.045881481488443, 19.135814814821867, 19.135814814821867, 19.185777777784907, 19.245733333340347, 19.275711111118063, 19.1957703703773, 19.275711111118063, 0.44966666666666666, 0.749444444447107, 0.2997777777804403, 0.749444444447107, 0.8993333333333333, 0.5995555555568868, 15.888222222259497, 308.7711111118327, 0.0, 0.4496666666706605, 0.5995555555568868, 1.49888888889022, 0.0, 0.2997777777804403, 1.1991111111177675, 0.44966666666666666, 0.1498888888862263, 297.97911111180866, 301.57644444515006, 286.5875555562239, 0.5995555555568868, 0.1498888888862263, 0.44966666666666666, 0.5995555555568868, 0.749444444447107, 0.749444444447107, 0.2997777777764465, 0.8993333333333333, 0.0, 0.44966666666666666, 1.0492222222235534, 1.49888888889022, 0.7494444444431132, 0.1498888888862263, 0.5995555555568868, 297.97911111180866, 1.349, 1.349000000003994, 0.4496666666706605, 0.7494444444431132, 1.0599285714315057, 11.659214285726023, 0.19271428571575283, 11445.590500012155, 192.61792857163178, 190.401714285916, 188.18550000020028, 0.7708571428578763, 1.252642857144691, 0.09635714285530894, 0.38542857142893816, 0.0, 0.09635714285530894, 0.9635714285736292, 0.38542857142893816, 2.5052857142868143, 0.09635714285530894, 0.7708571428578763, 0.38542857142893816, 0.2890714285736293, 0.6745000000025675, 0.0, 0.09635714285530894, 0.6745, 0.9635714285736292, 0.2890714285736293, 0.4817857142868146, 0.0, 0.8672142857124518, 0.09635714285750963, 0.09635714285750963, 0.48178571428498074, 0.7708571428549421, 1.2526428571399228, 0.38542857142747106, 0.8672142857124518, 180.09149999950702, 194.35235714232346, 197.8212142851707, 0.8672142857124518, 1.348999999994865, 0.38542857142747106, 0.09635714285750963, 0.7708571428549421, 0.48178571428498074, 0.28907142856996143, 0.7708571428549421, 0.09635714285750963, 0.6745, 1.059928571427471, 0.0, 0.5781428571424904, 0.5781428571399229, 192.52157142804361, 0.28907142856996143, 0.963571428567394, 0.6745, 0.5995555555551118, 0.5246111111102236, 0.0, 0.7494444444428913, 0.5246111111102236, 1.648777777775559, 0.4496666666653354, 0.8993333333326677, 146.5163888887979, 0.8243888888877795, 0.8243888888877795, 0.9742777777775559, 0.5246111111122205, 0.2248333333326677, 0.0, 0.22483333333466463, 1.2740555555551119, 1.3489999999980031, 0.1498888888897764, 0.4496666666673323, 0.2997777777775559, 155.13499999990213, 0.8243888888897765, 0.4496666666673323, 0.4496666666673323, 0.0, 0.5246111111122205, 148.24011111101836, 144.79266666657546, 0.4496666666653354, 0.9742777777775559, 142.24455555546726, 142.0197222221326, 142.6192777776877, 0.1498888888877795, 9.96761111110623]",40.78633792392378,0.6745,403.33128031195076,0.0,11445.590500012155,833.0,16.0,2.0,0.67
1,"[0.6226153846149592, 0.7263846153850407, 0.20753846153739808, 1.141461538465367, 1.34900000000553, 0.20753846154016303, 0.3372499999955069, 0.8431249999955069, 0.0, 0.8431249999910139, 0.5058749999955069, 1.0117499999910138, 0.0, 0.3372499999955069, 0.5058749999955069, 1.0117499999955069, 1.5176249999910139, 1.854874999991014, 0.6745, 0.6745, 0.0, 0.2698000000014378, 0.4046999999985622, 2.563099999999281, 1.3489999999964055, 1.2140999999992812, 1.3489999999964055, 0.5395999999992811, 0.8093999999971244, 0.2697999999978433, 0.5395999999992811, 1.349, 0.6745, 0.0, 0.1349000000007189, 1.0791999999985622, 0.2452727272733214, 1.8395454545368397, 0.2452727272700537, 1.1037272727266787, 0.6745000000013824, 1.2971153846163417, 0.15565384615650477, 0.6744999999986175, 0.6745000000013824, 0.2594230769210564, 0.15565384615650477, 1.8159615384639842, 0.1556538461537398, 2.3348076923116268, 0.8431249999966302, 0.6745, 0.1686249999966302, 0.6745, 0.6745, 3.0352500000022467, 4.047000000004493, 0.0, 0.0]",0.8248614554925047,0.6745,0.7798764597418676,0.0,4.047000000004493,59.0,6.0,1.0,0.33
2,"[293.9321111109265, 287.48688888871004, 0.0, 0.5995555555551118, 0.7494444444448882, 0.0, 0.2997777777795528, 1.0492222222204473, 0.1498888888897764, 0.299777777775559, 1.049222222224441, 1.1991111111102235, 0.06131818181699356, 0.06131818181699356, 0.9197727272745095, 0.5518636363627452, 0.18395454545424839, 0.5518636363627452, 1.5329545454542484, 0.7971363636372548, 15407.112954556482, 1.2876818181830063]",727.2670826451127,0.6745,3204.4855088793515,0.0,15407.112954556482,22.0,2.0,3.0,1.0
