Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.349, 1.517625, 0.168625, 0.505875, 0.6745, 0.0, 104.21025000001123]",9.03548958333427,0.0843125,28.700983754532427,0.0,104.21025000001123,12.0,2.0,6.0,1.0
1,"[0.6745, 0.6745, 0.33725, 2.698, 4.38425, 0.0, 8.7685, 0.11241666666604262, 0.11241666666754031, 1.0117500000003745, 0.33724999999962557, 1.686250000002621, 1.236583333335455]",1.6948974358978197,0.6745,2.363203583142566,0.0,8.7685,13.0,2.0,5.0,0.83
2,"[0.33725, 2.0235, 0.6745, 0.0, 2.0235, 1.68625, 0.6745, 0.0, 0.0, 0.6745, 2.698, 0.0, 2.698, 0.6745, 0.0]",0.9443,0.6745,0.9712175442882677,0.0,2.698,15.0,3.0,4.0,0.67
3,"[0.0, 0.6745000000000075, 0.6744999999999924, 0.0, 0.0, 0.0, 0.0, 0.6744999999955069, 0.6745000000044931, 0.0, 0.0]",0.24527272727272728,0.0,0.32446531987510296,0.0,0.6745000000044931,11.0,9.0,2.0,0.33
4,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.17
5,"[0.6745, 0.6745, 0.6745, 0.6745]",0.6745,0.6745,0.0,0.6745,0.6745,4.0,2.0,3.0,0.5
