Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.1182113402061734, 0.4380773195876301, 0.1182113402061734, 0.14602577319586124, 0.5493350515463814, 1.3976752577319538, 1.8427061855670057, 0.897015463917526, 1.7175412371134102, 1.369860824742266, 14.609530927835168, 0.7718505154639306, 1.0639020618556996, 2.3016443298969014, 0.1182113402061734, 0.257283505154659, 0.1182113402061734, 0.5771494845360694, 0.6745, 0.0, 0.3256206896551737, 3425.145887931018, 0.8140517241379149, 1.976982758620695, 0.10466379310343625]",138.29816600782019,0.6745,670.9307667001241,0.0,3425.145887931018,25.0,2.0,7.0,1.0
1,"[0.7598797468354322, 0.7854936708860619, 1.2721582278480825, 1.8442025316455353, 0.6745, 0.3842088607594735, 0.0, 0.32444303797467094, 0.6232721518987122, 0.12646875000002195, 2.2869765625000076, 1.2752265625000077, 0.3267109375000011, 1.7178671874999967, 0.0, 0.23185937500001097, 0.6745, 2.0551171875000316, 2.544166666666794, 0.6626666666667067, 0.05916666666670262, 0.0, 0.6745, 2.1773333333334426, 1.408166666666742, 4.816166666666898, 0.33133333333335335, 0.0, 0.6745, 0.7393557692307393, 0.8301538461538261, 0.18808173076922827, 0.5246111111110787, 0.824388888888838, 3.6223148148150073, 0.524611111111162]",0.9990111684007936,0.6745,1.0477554036005958,0.0,4.816166666666898,36.0,5.0,4.0,0.57
2,"[0.6744999999999999, 0.0, 4.946333333333208, 1.2109133858267862, 0.6160787401574864, 0.8922519685039495, 0.2761732283464631, 0.47799212598427254, 0.7329212598425136, 0.2761732283464631, 1.508330708661436, 0.442172222222223, 0.42718333333333586, 0.08243888888887972, 0.0, 0.6745, 0.8468722222222279, 1.461416666666679, 0.9293111111111078, 1.0717055555555612, 0.20932758620691125, 1.349, 0.0, 0.9419741379310037, 0.08140517241378376, 0.6745, 0.9187155172413513, 0.9274375000002808, 0.6745, 0.0, 0.0, 0.6745, 2.199456521739162, 0.7541653543306805, 0.20712992125983304, 0.8497637795275538, 0.0, 0.6745]",0.7548327228856092,0.6745,0.8470197202533849,0.0,4.946333333333208,38.0,7.0,3.0,0.43
3,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.14
4,"[0.0041635802469130664, 1.4281080246913482, 0.7202993827160437, 0.0041635802469130664, 0.3039413580246816, 1.4031265432098698, 0.34557716049383996, 0.7286265432098697, 1.528033950617262, 0.5787376543209717, 0.6287006172839562, 0.7785895061728266, 0.1040895061728544, 4.459194444444393, 5.905987804877986, 0.5264390243902345, 2.4841341463414346, 0.6745, 0.04112804878048279, 0.8225609756097381, 0.0, 2.3196219512194762, 0.3125731707316966, 0.386603658536593, 1.0282012195121795]",1.1006840740740627,0.6745,1.3812420065748034,0.0,5.905987804877986,25.0,2.0,5.0,0.71
5,"[0.7160787671232911, 0.2078938356164324, 0.28643150684933183, 0.5774828767123464, 0.0, 0.24485273972603303, 0.4157876712328802, 0.8777739726027574, 115.54739383561731, 0.900873287671248, 0.6698801369862941, 0.6791198630137059, 289.64231164383773, 0.0, 0.30029109589041086, 1.4044383561643932, 0.8731541095890591, 2.1805753424657603, 0.31372093023258607, 0.470581395348853, 0.5490116279069864, 0.17254651162789358, 0.5960697674418665, 1.5058604651163192, 2.6352558139535454, 0.01568604651162669, 0.941162790697706, 0.6745, 1.3019418604651722, 0.20391860465114697, 0.9097906976744526, 0.7529302325581856, 394.660930232571, 1.5842906976744526, 0.5490116279069864, 0.0, 2.1176162790698645]",22.310247692500205,0.6745,79.63052125989749,0.0,394.660930232571,37.0,2.0,6.0,0.86
6,"[0.6745, 0.6745, 1.2740555555555617, 0.07494444444443828, 0.07494444444443828, 1.4405987654321466]",0.7022572016460975,0.6745,0.5260996638042931,0.07494444444443828,1.4405987654321466,6.0,2.0,2.0,0.29
