Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[0.7358181818185904, 0.0919772727270685, 0.15329545454565877, 0.8891136363634321, 1.5022954545456588, 1.1650454545454545, 1.962181818181818, 0.3679090909090909, 0.18395454545454545, 1.1037272727272727, 0.7664772727270684, 1.716909090909091, 0.27593181818161394, 0.12263636363636363, 1.440977272727477, 0.6131818181818182, 0.7971363636363636, 1.1343863636361595, 0.981090909090909, 1.4409772727270684, 0.5212045454543413, 0.12263636363677209, 0.3679090909090909, 0.15329545454525031, 1.3796590909088866, 2.575363636364045, 1.0117499999997959, 0.7051590909088867, 0.30659090909131753, 0.5212045454547497, 1.1037272727272727, 0.5825227272725231, 0.5825227272725231, 0.3679090909090909, 0.2759318181820224, 1.624931818181614, 0.3679090909090909, 0.7358181818181818, 2.75931818181859, 0.981090909090909, 1.3489999999999998, 0.12263636363636363, 0.36790909090949936, 1.1650454545454545, 0.6131818181822267, 0.7051590909092951, 0.7358181818181818, 0.2146136363638406, 0.2759318181820224, 1.9621818181822266, 2.0848181818185902, 0.18395454545454545, 1.7169090909094993, 0.6745000000004084, 1.8088863636365677, 0.6131818181822267, 1.9315227272729316, 0.12263636363677209, 1.3183409090911131, 3.525795454546067, 0.6131818181822267, 0.9197727272731357, 0.39856818181797754, 0.5518636363640448, 1.8088863636365677, 1.8088863636365677, 0.6438409090911132, 1.8702045454547496, 0.7358181818181818, 1.1957045454543411, 0.21461363636343211, 0.36790909090949936, 0.09197727272747697, 1.471636363636772, 0.4598863636365679, 0.5825227272729314, 0.33724999999979577, 1.50229545454525, 0.24527272727272725, 0.30659090909131753, 3.6484318181824307, 0.45988636363615937, 4.016340909091522, 0.15329545454565877, 0.5212045454543413, 3.924363636364453, 0.6438409090911132, 0.5518636363636363, 0.15329545454525031, 0.7358181818185904, 0.06131818181818181, 2.851295454546067, 0.45988636363615937, 2.391409090909091, 0.5825227272729314, 0.06131818181818181, 1.2570227272729315, 0.09197727272747697, 0.8277954545452504, 0.6744999999999999, 0.39856818181838605, 1.0730681818179775, 0.33724999999979577, 0.33724999999979577, 0.21461363636343211, 0.8891136363634321, 0.5518636363640448, 2.7899772727278855, 1.2570227272729315, 1.440977272727477, 0.4905454545454545, 0.0919772727270685, 0.8584545454549538, 0.18395454545454545, 0.7358181818181818, 0.12263636363677209, 2.299431818182431, 1.4103181818185901, 1.257022727272523, 0.06131818181818181, 0.4292272727276812, 0.42922727272727274, 1.5942727272727273, 1.6862500000002043, 1.1343863636365679, 3.219204545455158, 1.3796590909088866, 1.1037272727276812, 0.0919772727270685, 0.15329545454525031, 0.2146136363638406, 0.5518636363640448, 0.09197727272747697, 0.4598863636365679, 0.030659090909295136, 0.42922727272727274, 0.2452727272731357, 0.5825227272725231, 0.24527272727272725, 0.6131818181822267, 1.2263636363636363, 1.073068181818386, 0.09197727272747697, 0.6438409090911132, 0.5518636363636363, 1.1957045454543411, 1.1957045454547497, 0.09197727272747697, 0.0919772727270685, 0.2759318181820224, 0.6745000000004084, 0.2452727272731357, 2.0848181818181817, 1.1037272727276812, 0.18395454545495393, 1.1957045454543411, 0.45988636363615937, 8922.132704546439, 0.4292272727276812, 0.7664772727270684, 0.36790909090949936, 0.4292272727276812, 0.3372500000002042, 1.563613636363432, 0.3679090909090909, 0.8584545454549538, 0.3065909090909091, 0.6438409090907049, 0.8277954545456587, 58.92677272727885, 1.4103181818181818, 0.7664772727270684, 3.0965681818187947, 0.8891136363638407, 2.207454545454954, 0.981090909090909, 0.30659090909131753, 1.0424090909094994, 1.9315227272729316, 0.8891136363638407, 0.9197727272727273, 0.7358181818185904, 0.766477272727477, 0.27593181818161394, 0.3065909090909091, 0.7051590909088867, 0.6131818181818182, 0.5825227272725231, 0.030659090908886678, 0.8584545454549538, 0.33724999999979577, 0.15329545454525031, 1.1037272727272727, 0.0, 1.471636363636772, 1.3490000000004085, 0.33724999999979577, 1.1037272727276812, 1.2876818181818181, 0.21461363636343211, 0.7051590909092951, 1.4527692307692308, 0.46696153846153843, 2.9833653846155572, 1.1933461538461538, 0.6485576923078651, 0.5966730769232497, 1.0376923076923077, 0.23348076923094205, 0.3372500000001728, 0.10376923076923077, 1.349, 1.556538461538807, 0.31130769230769234, 0.02594230769213488, 0.3891346153847882, 50.665326923082624, 0.7004423076924805, 1.0636346153847882, 0.6745, 1.6862500000001728, 0.6745, 0.12971153846171127, 51.96244230769801, 0.46696153846153843, 1497.4678269232418, 0.0, 0.8301538461538461, 0.5966730769232497, 0.3891346153847882, 1.1414615384615383, 0.3372500000001728, 0.3372500000001728, 1.1155192307694035, 0.3891346153847882, 0.9598653846155574, 0.7523269230770959, 0.31130769230769234, 0.7782692307692307, 0.4410192307694036, 1.582480769230942, 1.556538461538807, 0.20753846153846153, 2.7239423076924805, 0.2594230769230769, 1.9716153846157303, 1.1155192307694035, 0.8820384615384615, 1.4787115384617113, 0.12971153846171127, 0.12971153846171127, 0.20753846153846153, 0.6745, 1.3230576923078652, 1.011750000000173, 0.0259423076924805, 1.4008846153846153, 1.1674038461540188, 0.7523269230770959, 1.5305961538463266, 1.1933461538461538, 0.3372500000001728, 0.6485576923078651, 0.5707307692307692, 51.31388461539015, 0.5447884615386344, 0.3372500000001728, 1.089576923076923, 0.6226153846153847, 0.07782692307675027, 0.8301538461538461, 0.7782692307692307, 0.3631923076923077, 0.0, 0.4410192307694036, 0.28536538461555744, 0.2594230769230769, 0.23348076923094205, 0.23348076923094205, 0.8560961538463265, 49.21255769231305, 1.4268269230770958, 0.5188461538461538, 0.8560961538463265, 0.10376923076923077, 0.31130769230769234, 0.0, 0.10376923076923077, 0.15565384615384617, 0.41507692307692307, 1.2711730769232497, 0.28536538461555744, 1.5305961538463266, 0.5707307692307692, 1.712192307692653, 0.3891346153847882, 0.41507692307692307, 0.7004423076924805, 1.1414615384615383, 1.712192307692653, 0.9858076923076924, 1.1155192307694035, 1.5305961538463266, 0.18159615384632666, 0.7004423076924805, 0.02594230769213488, 0.9079807692309421, 0.23348076923094205, 0.07782692307675027, 1.5046538461541918, 0.02594230769213488, 0.18159615384632666, 1.4527692307692308, 1.4787115384617113, 1.349, 0.7523269230770959, 0.05188461538461538, 0.3891346153847882, 1.0480692307698984, 0.5707307692311521, 0.7990230769231152, 3.1442076923088664, 0.11414615384639631, 0.48771538461546543, 0.6745, 0.861284615384811, 0.4047000000003318, 0.8197769230771059, 1.3386230769235576, 0.010376923076718895, 0.01037692307699539, 0.07263846153869125, 1.1310846153853087, 0.19716153846152995, 0.9027923076927925, 0.32168461538492166, 0.44620769230803686, 0.8197769230773825, 0.30093076923065437, 0.7367615384616958, 1.0688230769233364, 0.32168461538464516, 1.5461615384620828, 2.7291307692318156, 1.1933461538464516, 1725.671930769951, 0.8820384615390783, 0.2801769230769401, 0.716007692307705, 0.44620769230803686, 0.8197769230773825, 0.1349000000001106, 0.3631923076926267, 0.48771538461546543, 223.3632692308623, 1.5461615384623595, 0.3631923076923502, 0.09339230769240553, 0.3631923076923502, 0.07263846153869125, 1.0065615384621935, 0.6537461538465622, 1.0895769230776036, 0.9235461538462305, 0.2386692307695115, 0.6745, 0.34243846153835944, 1.3178692307698432, 1.0480692307693458, 0.2594230769235023, 0.010376923076718895, 0.8820384615385254, 0.031130769230986174, 0.3839461538460645, 0.4254538461537696, 0.9858076923079262, 0.8820384615390783, 0.674500000000553, 0.4669615384614747, 1.1310846153853087, 1.0480692307693458, 0.031130769230986174, 0.15565384615410138, 0.7782692307696774, 0.01037692307699539, 0.861284615384811, 1.2556076923081476, 1.2971153846161292, 0.32168461538492166, 1.0480692307693458, 0.09339230769212903, 0.07263846153841474, 0.3839461538466175, 0.6952538461542673, 0.6329923076922949, 0.32168461538464516, 39.96153076924768, 1.1725923076930138, 0.031130769230986174, 1.338623076923834, 0.632992307692848, 0.09339230769212903, 0.6952538461542673, 0.4254538461543226, 0.7990230769231152, 1.6084230769235024, 0.09992592592590127, 0.8993333333334442, 0.32475925925934557, 0.5495925925927898, 2.6230555555550747, 0.249814814815086, 0.5246111111108153, 1.0242407407406544, 0.7994074074072102, 1.5238703703701608, 0.44966666666688854, 1.47390740740721, 0.2997777777780366, 0.19985185185180254, 0.049962962962950636, 0.09992592592590127, 0.974277777777371, 0.699481481481309, 0.9243148148144203, 1.0492222222219634, 0.9992592592593456, 0.32475925925901267, 0.0, 4.196888888888187, 1.2490740740740987, 0.09992592592590127, 0.8493703703704937, 0.2747962962960621, 0.799407407407543, 1.1741296296291737, 0.22483333333311145, 0.8243888888885191, 0.12490740740721018, 0.24981481481475318, 1.3240185185183582, 0.3747222222222962, 0.974277777777371, 0.5995555555557405, 0.5995555555557405, 0.24981481481475318, 1.0991851851852468, 0.9492962962963949, 0.2747962962963949, 0.5745740740737659, 0.2997777777777038, 0.049962962962950636, 0.7244629629629507, 938.2045185183903, 0.0, 0.9992592592590127, 1.3240185185183582, 1.3989629629629505, 1.5238703703701608, 0.09992592592590127, 0.1498888888888519, 0.8743518518518025, 1.5488518518518024, 1.0242407407406544, 0.37472222222196333, 1.4239444444442595, 0.8993333333331114, 0.6495185185186911, 0.07494444444425954, 0.6245370370370493, 1.398962962962618, 0.34974074074098727, 1.3240185185183582, 1.9235740740740987, 0.4996296296298392, 0.3497407407406545, 1.3240185185183582, 1.47390740740721, 0.09992592592590127, 0.024981481481641726, 0.6495185185186911, 0.6994814814816417, 0.17487037037049363, 1.2740555555550748, 1.249074074073766, 1.0742037037032723, 0.1498888888888519, 0.6745, 0.9742777777777039, 0.49962962962950636, 1.2740555555554076, 0.9492962962960622, 0.7744259259255684, 0.049962962962950636, 0.249814814815086, 0.5995555555554076, 0.3497407407406545, 0.7744259259259012, 0.17487037037049363, 1.3989629629629505, 0.4996296296298392, 0.6994814814816417, 0.47464814814786466, 0.8993333333331114, 0.7994074074072102, 1.074203703703605, 0.6245370370367165, 0.6245370370367165, 0.1498888888888519, 0.39970370370393793, 0.8993333333331114, 0.07494444444459236, 2.1484074074068773, 1.224092592592124, 0.7244629629629507, 0.2747962962960621, 0.37472222222196333, 0.6994814814816417, 0.699481481481309, 0.4496666666665557, 0.6495185185186911, 0.19985185185180254, 0.9243148148144203, 2.1733888888885193, 0.5995555555557405, 0.6245370370367165, 0.8243888888885191]",26.59174675247459,0.6745,402.5492968006573,0.0,8922.132704546439,527.0,4.0,4.0,0.8
1,"[22.575911764707147, 21.99776890756425, 21.362945378152517, 21.895743697480146, 0.4477773109243069, 0.5838109243696775, 0.867214285714426, 0.08502100840331882, 0.2663991596638129, 0.10769327731103161, 0.005668067226928196, 0.8218697478991515, 0.13036554621844235, 1.014584033613502, 1.0599285714286253, 0.5498025210084103, 3.349827731092514, 0.7651890756303226, 0.005668067226928196, 23.709525210085385, 0.005668067226928196, 0.03967647058834634, 22.632592436975976, 0.2777352941176693, 2.2719999999996765, 0.21299999999992533, 0.2130000000003983, 0.31950000000012446, 0.3194999999996515, 2.3784999999998755, 0.6745, 0.1419999999999502, 0.0, 1.5974999999992034, 0.6745, 0.5680000000002738, 0.7809999999997261, 0.42600000000032356, 1.455499999999253, 69.75749999998287, 2.3074999999994272, 0.39049999999962665, 2.0234999999995273, 0.32452358490574673, 0.12090094339616883, 0.7954009433961687, 24.212004716980672, 4836.120457547095, 1.9662311320754364, 0.9226650943395491, 0.4136084905660281, 0.4136084905660281, 0.7190424528301407, 0.12090094339633838, 0.6299575471698593, 0.8368796296296096, 0.5995555555554816, 0.5620833333331807, 0.1748703703703488, 0.4746481481480896, 0.8118981481481311, 0.6620092592592608, 24.032185185184883, 24.169583333333097, 24.781629629629403, 25.031444444444183, 0.612046296296304, 0.736953703703696, 0.3247592592593856, 0.6869907407407392, 0.1748703703703488]",73.27469853308078,0.6745,569.3802227849613,0.0,4836.120457547095,71.0,4.0,5.0,1.0
2,"[0.8908490566037159, 0.10181132075472978, 0.458150943396284, 0.10181132075472978, 0.8908490566040551, 1.2726415094341224, 0.7141764705883181, 0.37031372549014774, 0.37031372549014774, 0.7141764705883181, 0.6348235294116819, 1.851568627451091, 3.517035714280373, 1.011749999998235, 0.5299642857144921, 0.8190357142855079, 2.360749999996309, 0.14453571428518705, 0.1445357142858289, 0.4817857142856684, 0.10980232558151684, 0.6745000000002089, 0.0, 0.6745, 1.1764534883723798, 0.6745, 0.6745]",0.791301275098261,0.6745,0.7469613280664082,0.0,3.517035714280373,27.0,5.0,2.0,0.4
3,"[0.15686046511646376, 0.3137209302325095, 0.18823255813992368, 0.09411627906996184, 2.1646744186049425, 0.3137209302329275, 0.0627441860465019, 0.5333255813954753, 0.15686046511646376, 1.31762790697654, 0.09411627906996184, 1.192139534883954, 61.95988372092712, 59.575604651160035, 58.50895348836909, 59.575604651160035, 62.77555813953205, 0.3450930232555515, 0.8156744186045247, 0.06274418604691986, 0.9097906976740687, 0.8470465116275668, 0.658813953488061, 1.192139534883954, 0.0627441860465019, 0.6901860465119389, 0.7215581395349808, 3.137209302325513, 0.5019534883724333, 2.3842790697670724, 0.2823488372094676, 0.5333255813950573, 1.192139534883954, 0.21960465116254768, 0.09411627906954388, 0.3137209302325095, 2.133302325581065, 0.7843023255814828, 0.43920930232551336, 1.0666511627905324, 0.3137209302329275, 1.1607674418604943, 0.7529302325580229, 0.40783720930205336, 0.8470465116279847, 2.1333023255814827, 0.21960465116296565, 0.09411627906996184, 0.06977586206913648, 0.814051724138273, 0.2093275862067897, 1.2792241379314833, 0.41865517241419914, 0.5582068965521623, 0.2558448275864206, 0.32562068965555707, 0.02325862068950558, 0.0, 0.6745000000003099, 0.3023620689654317, 0.3256206896552472, 0.5349482758623467, 0.6745000000003099, 0.04651724137932103, 0.11629310344814764, 0.06977586206913648, 0.1860689655172841, 0.7442758620691364, 0.2791034482759262, 1.2559655172416677, 0.5582068965518524, 1.1629310344833357, 0.11629310344814764, 0.23258620689660514, 0.06977586206913648, 0.279103448276236, 3.0003620689663615, 0.32562068965555707, 0.34887931034506264, 1.1164137931040146, 0.7442758620694463, 1.000120689655557, 0.9303448275867304, 1.0466379310345681, 1.5815862068972248, 1.093155172414199, 0.8838275862070996, 0.6745, 0.34887931034506264, 0.1860689655172841, 1.5815862068972248, 0.16281034482746867, 0.1395517241379631, 1.1861896551725313, 0.09303448275895192, 0.20932758620709957, 0.6745000000003099, 0.44191379310339485, 0.6047241379311733, 1.0931551724138893, 1.2094482758623466, 0.3953965517243837, 0.7907931034484575, 0.16281034482746867, 0.7210172413796309, 0.7675344827586421, 1.0233793103450626, 1.6281034482762362, 0.721017241379321, 0.5116896551728412, 0.32562068965555707, 47.70343103449914, 0.09303448275895192, 0.3023620689654317, 0.023258620689815445, 0.44191379310339485, 0.6977586206901253, 0.1860689655172841, 1.81417241379352, 0.8373103448280884, 0.860568965517594, 1.3257413793104944, 0.06977586206882662, 0.1162931034484575, 1.3722586206901253, 0.279103448276236, 1.3490000000003097, 0.814051724138273, 0.44191379310339485, 0.8838275862074094, 0.2093275862067897, 0.6512413793108043, 0.8373103448277786, 0.9303448275867304, 0.7442758620694463, 0.23258620689660514, 0.814051724138273, 0.30236206896574164, 1.6978793103456824, 0.232586206896915, 1.0233793103450626, 0.7675344827586421, 0.20932758620709957, 0.7442758620691364, 0.3721379310345682, 0.9536034482759261, 0.04651724137963089, 1.4885517241382729, 1.4420344827592617, 0.4186551724138893, 1.3955172413796308, 0.1860689655172841, 0.23258620689660514, 0.6512413793108043, 0.5349482758623467, 0.13955172413827296, 0.11629310344814764, 1.3722586206901253, 0.4186551724138893, 1.0931551724138893, 0.6512413793108043, 0.23258620689660514, 0.30236206896574164, 0.721017241379321, 0.3256206896552472, 0.3488793103447528, 0.5116896551728412, 1.162931034483026, 0.7907931034487674, 0.18606896551759397, 0.09303448275864205, 0.9303448275864206, 0.907086206896915, 0.1860689655172841, 1.3955172413796308, 0.3721379310348781, 0.279103448276236, 0.6745, 0.18606896551759397, 0.8838275862074094, 1.0001206896552473, 0.44191379310339485, 1.8606896551731509, 0.279103448276236, 1.3490000000006197, 0.30236206896574164, 1.162931034483026, 1.81417241379352, 0.5582068965518524, 1.1861896551725313, 0.11629310344814764, 0.7442758620694463, 0.06977586206913648, 1.0233793103453726, 1.3955172413796308, 1.2327068965521621, 0.9768620689660514, 0.5582068965521623, 1.2327068965518524, 1.0233793103450626, 0.8373103448280884, 0.023258620689815445, 1.000120689655557, 0.907086206896915, 0.6512413793104944, 0.09303448275895192, 1.7443965517250033, 0.16281034482777854, 0.7907931034484575, 0.6745000000003099, 1.2094482758626568, 0.3488793103447528, 0.8605689655172841, 0.0, 1.8374310344833356, 0.0, 1.535068965517594, 0.11629310344814764, 0.34887931034506264, 1.2094482758623466, 1.5583275862074093, 1.0233793103453726, 1.5583275862074093, 0.8373103448277786, 1.6048448275867304, 1.9769827586212985, 1.8839482758626567, 1.1396724137935201, 0.7442758620691364, 0.6512413793108043, 1.4187758620694464, 0.09303448275895192, 0.8373103448280884, 0.0, 1.2327068965521621, 0.5814655172416678, 1.3490000000003097, 0.2791034482759262, 0.3721379310345682, 1.3024827586209888, 2.070017241379941, 45.889258620705306, 3.651603448276856, 0.5349482758623467, 1.2792241379311735, 0.7442758620694463, 0.2791034482759262, 0.279103448276236, 0.5349482758623467, 47.19174137932661, 44.7728448276016, 0.06977586206913648, 0.7675344827586421, 0.18606896551759397, 0.04651724137963089, 1.628103448276546, 0.814051724137963, 0.13955172413827296, 0.279103448276236, 0.6745000000003099, 0.5582068965521623, 0.814051724137963, 0.3721379310348781, 0.2093275862067897, 1.4885517241382729, 0.04651724137932103, 0.1162931034484575, 0.11629310344814764, 0.18606896551759397, 0.7442758620691364, 0.3721379310348781, 0.6977586206898154, 0.2791034482759262, 1.3257413793104944, 0.34887931034506264, 0.1860689655172841, 0.9768620689660514, 0.7442758620691364, 1.046637931034878, 1.0466379310345681, 0.8373103448280884, 0.04651724137963089, 0.13955172413827296, 0.2791034482759262, 0.6745, 0.41865517241419914, 0.8605689655172841, 0.3721379310348781, 0.34887931034506264, 0.41865517241419914, 0.4884310344827159, 1.046637931034878, 0.3721379310348781, 0.23258620689660514, 0.09303448275864205, 0.721017241379321, 0.9070862068966051, 0.5814655172413579, 1.0233793103450626, 1.6513620689660515, 0.3953965517240738, 1.4885517241385828, 2.2328275862074096, 1.581586206896915, 0.6512413793104944, 0.0, 0.06977586206913648, 1.0233793103450626, 1.0698965517243837, 0.8373103448280884, 1.000120689655557, 0.814051724137963, 2.070017241379941, 0.5116896551725313, 0.627982758620679, 0.1162931034484575, 0.9303448275867304, 0.2093275862067897, 0.6512413793108043, 1.7909137931043244, 0.814051724138273, 0.41865517241419914, 1.1164137931037048, 0.20932758620709957, 1.3955172413796308, 0.18606896551759397, 0.3721379310348781, 0.9303448275867304, 2.2560862068972245, 0.907086206896915, 1.3024827586212986, 0.2791034482759262, 0.4419137931037047, 1.2327068965518524, 1.3024827586209888, 0.04651724137932103, 1.1164137931037048, 1.7909137931040147, 1.6048448275870402, 0.860568965517594, 0.30236206896574164, 0.44191379310339485, 0.4884310344827159, 0.1860689655172841, 0.4884310344830257, 0.20932758620709957, 0.5495925925929254, 0.6994814814818142, 0.04996296296263014, 0.6744999999998337, 1.1991111111111112, 0.6994814814814815, 50.162814814820145, 0.02498148148131507, 1.8236481481483144, 0.8493703703703703, 1.024240740740907, 1.7986666666669995, 2.298296296296629, 0.7494444444447773, 0.5495925925929254, 0.5995555555555556, 0.3747222222220558, 0.7994074074074073, 0.5745740740742404, 1.7736851851856843, 2.098444444444777, 0.2997777777781106, 0.14988888888922172, 0.24981481481481482, 0.9992592592592593, 1.5738333333331669, 0.3247592592590928, 0.6495185185188513, 0.24981481481514764, 0.9243148148149811, 0.19985185185218465, 1.7487037037037039, 0.04996296296263014, 1.174129629629796, 0.04996296296263014, 0.8993333333333333, 0.4996296296299625, 0.5995555555558885, 0.3997037037040365, 0.7994074074074073, 0.6744999999998337, 0.4246851851853516, 0.5995555555555556, 0.5495925925929254, 0.0999259259255931, 0.24981481481514764, 0.24981481481514764, 2.8978518518525176, 0.7994074074077402, 0.19985185185218465, 1.8486296296299622, 1.7736851851853517, 0.32475925925942567, 0.49962962962962965, 0.7744259259257594, 0.07494444444427803, 1.5238703703702041, 0.39970370370370367, 0.6994814814814815, 0.7994074074074073, 1.9235740740742406, 0.04996296296263014, 0.37472222222238866, 0.2997777777781106, 0.5246111111112775, 0.8743518518520182, 1.3739814814819806, 0.39970370370370367, 0.34974074074107353, 0.024981481481647888, 0.4746481481483145, 0.5246111111112775, 49.86303703704236, 48.83879629630145, 47.389870370375526, 0.3247592592590928, 1.2740555555553892, 0.949296296296629, 1.1491481481484809, 0.7494444444444445, 0.5246111111109447, 0.24981481481514764, 0.6245370370368706, 0.24981481481481482, 0.949296296296629, 0.32475925925942567, 1.5988148148151478, 0.12490740740724099, 1.2990370370373698, 0.4496666666669995, 1.3490000000003328, 0.07494444444461086, 0.5495925925925925, 1.099185185185185, 0.34974074074107353, 0.6745000000001664, 1.2490740740740742, 0.8243888888887225, 1.349, 1.4489259259259257, 2.673018518519018, 0.6745000000001664, 1.473907407407241, 0.09992592592625874, 0.7244629629627966, 0.12490740740724099, 0.7494444444444445, 1.5238703703702041, 0.4496666666669995, 0.6994814814818142, 0.12263636363636363, 1.0424090909090908, 1.1650454545454545, 0.0, 0.3679090909090909, 0.7358181818181818, 0.3065909090909091, 0.6744999999999999, 0.8584545454545455, 0.4598863636365679, 0.8277954545456587, 0.2146136363638406, 1.1343863636365679, 0.15329545454565877, 0.5825227272729314, 0.09197727272747697, 1.1037272727272727, 1.0117500000002042, 0.06131818181818181, 0.06131818181818181, 0.5825227272729314, 0.3679090909090909, 0.9197727272727273, 0.6744999999999999, 2.146136363636772, 1.1957045454547497, 1.1957045454547497, 1.0117500000002042, 0.6744999999999999, 0.5518636363636363, 0.030659090909295136, 0.4905454545454545, 0.39856818181838605, 0.15329545454565877, 1.1037272727272727, 0.7358181818181818, 0.2759318181820224, 1.8702045454547496, 1.6862500000002043, 0.7358181818181818, 0.2146136363638406, 0.6744999999999999, 0.8584545454545455, 0.6438409090911132, 0.15329545454565877, 1.1650454545454545, 0.4598863636365679, 1.0117500000002042, 1.4103181818181818, 0.0, 0.5825227272729314, 0.24527272727272725, 1.4103181818181818, 0.09197727272747697, 0.6744999999999999, 0.6744999999999999, 0.3372500000002042, 1.073068181818386, 0.24527272727272725, 2.881954545454954, 1.9928409090911132, 0.030659090909295136, 2.422068181818386, 1.4716363636363636, 1.0117500000002042, 0.3679090909090909, 0.3679090909090909, 0.4905454545454545, 1.9928409090911132, 0.2146136363638406, 1.440977272727477, 3.0045909090913177, 0.030659090909295136, 0.7051590909092951, 0.5212045454547497, 1.073068181818386, 0.2759318181820224, 0.9197727272727273, 0.766477272727477, 0.3372500000002042, 0.6131818181818182, 0.3065909090909091, 0.2759318181820224, 60.15313636364289, 59.08006818182451, 59.60127272727926, 61.59411363637037, 60.551704545461284, 2.360750000000204, 0.7918043478260529, 0.6744999999999999, 1.4076521739126358, 1.9941739130432914, 1.17304347826053, 0.4692173913042119, 1.0264130434781589, 0.17595652173907947, 0.11730434782605298, 1.8768695652172385, 0.17595652173907947, 2.0528260869563177, 0.6744999999999999, 0.9677608695651324, 0.6744999999999999, 1.4663043478256623, 0.6744999999999999, 0.05865217391302649, 1.2610217391302647, 0.2932608695651325, 0.0, 1.6715869565214505, 0.7331521739130265, 0.9970869565214504, 0.5278695652172384, 0.2639347826088146, 0.43989130434789403, 1.4076521739126358, 1.5542826086953974, 1.2316956521735563, 0.08797826086973509, 0.20528260869578807, 1.143717391304212, 0.8504565217390795, 1.4369782608693444, 0.17595652173907947, 0.41056521739118546, 0.49854347826092055, 1.3196739130432913, 0.029326086956317894, 1.5249565217386887, 1.2316956521735563, 1.7009130434777682, 0.9970869565214504, 0.32258695652184105, 0.9970869565214504, 1.3783260869563179, 0.23460869565210596, 0.7918043478260529, 1.6715869565214505, 0.557195652173947, 0.6158478260869735, 0.23460869565210596, 1.4076521739126358, 0.20528260869578807, 0.2639347826088146, 0.8797826086953974, 2.4047391304344767, 0.0, 1.143717391304212, 0.5278695652172384, 0.4692173913042119, 0.5278695652172384, 0.557195652173947, 0.909108695652106, 0.6451739130432913, 0.2932608695651325, 0.7624782608693443, 0.14663043478276158, 0.35191304347815894, 0.8211304347823709, 0.2639347826088146, 0.909108695652106, 0.17595652173907947, 0.7331521739130265, 0.029326086956317894, 0.6158478260869735, 0.3812391304348675, 0.8797826086953974, 2.6100217391298743, 1.2610217391302647, 0.17595652173907947, 0.4692173913042119, 0.41056521739118546, 0.23460869565210596, 0.11730434782605298, 0.23460869565210596, 1.7595652173907947, 0.4692173913042119, 0.5278695652172384, 0.5278695652172384, 0.05865217391302649, 0.7918043478260529, 0.6744999999999999, 0.586521739130265, 0.23460869565210596, 0.0, 1.3489999999996092, 0.586521739130265, 0.8797826086953974, 1.143717391304212, 0.7918043478260529, 0.11730434782605298, 0.11730434782605298, 1.3783260869563179, 0.17595652173907947, 0.2639347826088146, 1.4076521739126358, 0.557195652173947, 0.5278695652172384, 0.14663043478276158, 1.4076521739126358, 0.7918043478260529, 1.6422608695647418, 1.3196739130432913, 0.43989130434789403, 1.3783260869563179, 0.49854347826092055, 1.6715869565214505, 1.495630434782371, 0.0, 2.5220434782605294, 2.0528260869563177, 57.03923913042471, 1.4076521739126358, 0.32258695652184105, 0.5278695652172384, 0.35191304347815894, 0.14663043478276158, 0.9970869565214504, 0.11730434782605298, 0.7331521739130265, 0.7918043478260529, 0.586521739130265, 0.586521739130265, 0.3812391304348675, 0.586521739130265, 2.0528260869563177, 0.586521739130265, 0.5278695652172384, 2.6686739130429005, 0.7918043478260529, 1.17304347826053, 2.6686739130429005, 0.11730434782605298, 0.11730434782605298, 1.7888913043475032, 1.612934782608424, 0.586521739130265, 1.7888913043475032, 1.2316956521735563, 0.11730434782605298, 0.43989130434789403, 0.6744999999999999, 0.43989130434789403, 0.7331521739130265, 0.35191304347815894, 0.8504565217390795, 1.4663043478256623, 1.7009130434777682, 2.2287826086953975, 0.43989130434789403, 1.143717391304212, 0.3812391304348675, 0.9384347826084238, 0.23460869565210596, 0.3812391304348675, 0.3812391304348675, 0.17595652173907947, 0.9677608695651324, 1.0850652173911854, 1.4663043478256623, 1.17304347826053, 0.7624782608693443, 0.20528260869578807, 0.35191304347815894, 1.1143913043475033, 1.2316956521735563]",2.182783234976858,0.6744999999999999,8.733010674220672,0.0,62.77555813953205,723.0,5.0,3.0,0.6
4,"[0.6744999999996093, 0.6745000000003907, 0.0, 0.0]",0.33725,0.33724999999980465,0.33725,0.0,0.6745000000003907,4.0,3.0,1.0,0.2
