Cluster,Dist,mean,median,std,min,max,bag_count,day_count,Cluster_Rank,Cluster_perc
0,"[1.3291617647057503, 0.019838235294249794, 0.0198382352937212, 2.2020441176474552, 0.0, 0.6745, 18.099083333331656, 121.94960000001348, 0.6745, 0.0, 0.09635714285732624, 0.6745, 0.12847619047614972, 2.4089285714280213, 0.44966666666652405, 0.8993333333326201, 0.0, 1.348999999999572, 1.0278095238091978, 0.6745, 0.0, 2.173388888890997, 0.0, 0.6745, 0.7644333333332934, 0.6745, 0.0, 8.799159090909088]",5.920111372428182,0.6745,22.614581968433217,0.0,121.94960000001348,28.0,7.0,3.0,0.43
1,"[20.81667889908106, 0.7796972477063615, 0.5693027522936385, 0.024752293577977112, 23.67556880733783, 0.049504587155954224, 0.16088990825676877, 0.9900917431190845, 21.54687155963147, 0.3836605504585628, 0.024752293577977112, 21.63350458715447, 47.253913461531795, 1.8029903846148363, 1.206317307692085, 0.5058750000001295, 45.048817307686036, 0.03891346153871079, 0.03891346153836516, 0.3761634615384516, 0.16862499999969757, 0.8431249999998703, 0.08927205882358674, 17.61635294117673, 0.5753088235293554, 17.87425000000023, 0.16862500000004957, 17.189830882353174, 0.39676470588231405, 1.1109411764706114, 0.08927205882358674, 17.29894117647074, 16.18800000000026, 0.11902941176456207, 0.7736911764706446, 0.3471691176470909]",7.7160104890251136,0.6745,12.407659423992055,0.024752293577977112,47.253913461531795,36.0,3.0,4.0,0.57
2,"[0.6396120689656026, 0.6396120689652929, 0.7093879310343972, 43.48199137930492, 0.6670055555554059, 0.6670055555556055, 27.647005555558803, 0.6819944444443946, 0.0, 0.20235, 31.077587500003485, 30.335637500003482, 0.6745]",10.571053043030107,0.6745,15.421181660802366,0.0,43.48199137930492,13.0,3.0,6.0,0.86
3,"[0.0, 7.153667647058416, 0.2737676470588599, 0.6745, 7.213182352940839, 0.01587058823534449, 7.102088235293745, 0.0, 0.4285058823530133, 13.672511764706343, 0.2459941176471981, 14.450170588235693, 14.299400000000464, 0.6745]",4.728868487394993,0.6745,5.618978918493206,0.0,14.450170588235693,14.0,2.0,2.0,0.29
4,"[24.120120000002697, 0.59356, 0.0, 0.20235000000008987, 763.318160000084, 763.3856100000842, 1.6727600000003593, 0.7419500000000898, 24.335960000002874, 0.32376, 26.372950000002966, 0.09442999999991014, 0.6745000000000001, 0.48563999999999996, 0.48563999999999996, 0.33725000000008987, 0.7284600000001796, 0.09442999999991014, 0.8903400000001797, 24.295490000002605, 0.16188, 0.24281999999999998, 0.6745000000000001]",71.05358956522524,0.6745000000000001,213.84276062184742,0.0,763.3856100000842,23.0,1.0,7.0,1.0
5,"[0.0, 1.927142857142857, 0.6745, 0.0, 0.6745000000002089, 0.674499999999791, 0.6745000000001953, 0.6744999999998047, 0.0, 0.6744999999997432, 0.6745000000002568]",0.6044220779220779,0.6744999999998047,0.5116768165694104,0.0,1.927142857142857,11.0,6.0,1.0,0.14
6,"[0.2759318181817501, 0.6745, 18.62028787878992, 1.3592196969697652, 0.0, 1.6113055555558051, 0.6745, 0.0, 64.71452777778453, 0.37472222222222223]",8.830499494950399,0.6745,19.391952589354098,0.0,64.71452777778453,10.0,2.0,5.0,0.71
